reference	hypA	nbrA	hypB	nbrB
premier concert à new york et comme à londres les papys rockeurs prouvent qu' ils sont dans une forme olympique	premier concert à new york et comme à londres les papys rockeur prouve qu' ils sont dans une forme olympique	7	premier concert à new york et comme à londres les papirs rockoeurs prouvent qu' ils sont dans une forme olympique	1
c' est c' est un modèle pour les femmes	c ça c' c' est un modèle pour les femmes	1	et ça c' est un modèle pour les femmes	7
huit mille relayeurs se sont succédé depuis et depuis quelques jours elle fait le tour des quartiers de londres	mille relayeurs se sont succédé depuis depuis quelques jours elle fait le tour des quartiers de londres	1	huit milles relayeurs se sont euh succédés depuis et depuis quelques jours elle fait le tour des quartiers de londres	7
possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	possible l' agence modiz a placé hier soir ses pays sous perspective négative	7	possible l' agence modise a placé hier soir ses pays sous perspective négative	1
je préviens le bourget pour leur dire qu' on risque de décoller en retard	près d' un projet pour leur dire qu' on risque de découverte	5	je crois quand même un projet pour leur dire qu' on risque de d	3
d' une façon délibérée	une fa çon délibéréée	4	an une façon délibéré	4
merci andré paccou dominique rizet manuel valls dit le sport l' immobilier	andré pachoux dominique frisait manuel valls dit le sport l' immobilier	0	merci à andré pacou dominique rizet manuel valls dit le sport l' immobilier	8
c' est quoi aujourd'hui de pouvoir être accompagné dans leur financement on va le faire avec la bpi	c' est quoi ( aujourd' hui de pouvoir être accompagné dans leur financement on va le faire avec la bpi	4	c' est quoi (aujourd' hui de pouvoir être accompagné dans leur financement on va le faire avec la bpi	4
depuis le début de l' année l' île	depuis le début de l' année lille	1	depuis le début de l' année l îlle	7
qui est un aciériste un industriel qui n' est pas un financier	est un aciéristes un industriel qui n' est pas un financier	5	qui est un assiériste un industriel qui n' est pas un financier	3
on a continué on a continué à se parler moi ce qui m' a vraiment frappé chez lui	on a continé euh on a continué à parler moi ce qui m' a vraiment frappé chez lieu	8	bon il a fonctionné euh on a continué à je parler moi je suis maintenant frappé chez eux	0
est ce que les jeunes espagnols ont envie de quitter leur pays	est-ce que les jeunes espagnols euh ont envie de quitter leur pays	8	est-ce que les jeunes espagnol euh ont envie de quitter leur pays	0
nous avons buzz aldrin qui était hier à paris	nous avons peux aldrich qui était hier à paris	0	nous avons bez al dren qui était hier à paris	8
et je suis d' accord que c' est un peu irritant ce son	je suis je suis d' accord que c' est un peu héritant euh ce son	1	puis je suis d' accord que c' est un peu héritant euh ce son	7
d' ailleurs ils viennent d' annoncer leur participation mercredi à un concert en faveur des victimes de l' ouragan sandy	d' ailleurs ils viennent d' annoncer leur participation mercredi un concert et faveur des victimes de haut un consensus	0	d' ailleurs ils viennent d' annoncer leur participation mercredi un concert en faveur des victimes de l' ouragan son dis	8
est ce qu' on en est capable	ce qu' on en est capable	0	est-ce qu' on en est capable	8
il voulait recevoir madame laborie il m' a assuré qu' il n' en aurait pas pour plus de dix minutes	et je voulais recevoir madame la bourrivouma assurer qu' il en aurait pas pour plus de dix minutes	3	il voulais recevoir madame nabouri il m'a assurér qu' il en aurait pas impor plus de diminute	5
la culture et la compétence de peillon	culture et la compétence de peillon	6	la culture et la compétence de payon	2
sarkozy et on a limite quoi qu' il dise actuellement ça ne passe pas sauf ceux naturellement qui sont	sarkozy a en la limite quoi qu' ils dise actuellement ça ne passe pas tout naturellement qu qui sont	6	sarkozy y an en a limite quoi qu' ils disent actuellement ça ne passe pas souss naturellement qui sont	2
il m' a fallu un peu de temps pour le découvrir	peu de temps pour découvrir	0	il m' a fallu un peu de temps pour le découvrer	8
c' est nettement moins que pékin ça c' est sûr en revanche c' est	est nettement moins que pékin ça c' est en revanche c' est	0	c' nettement moins que pékin ça c' est sûr de en revanche c' est	8
a exfiltré son mari vers le maroc où elle l' a	a expiltreré son mari vers le maroc où elle l' a	1	a exfiltré son mari vers le maroc où elle la	7
au petit jeu du my tailor is rich	au petit jeu du mgtale iswich	1	au petit jeu du mitaler iswich	7
on peut dire que cette semaine elle vaut pour un mois de campagne	peut dire que cette semaine elle vaut pour un mois de campagne	6	on peut dire que cette semaine éle vaut pour euh un mois de campagne	2
je pense que y a énormément de français qui dans les derniers jours là vont avoir envie de s' exprimer	je pense que y a énormément de français qui dans les derniers jours la vont avoir envie de s' exprimer	2	je pense qu' il y a énormément de français qui dans les derniers jours là vont avoir envie de s' exprimer	6
qu' elle a tenus	euh qu' elle a tenu	7	euh qu' elle a tenue	1
sur un certain nombre de labels ofg que vous connaissez mais également le label entreprise du patrimoine vivant	sur un certain nombre de label ou que vous connaissez mais également le label entreprise du patrimoine vivant	2	euh sur un certain nombre de labels ofg que vous connaissez mais également euh le label entreprise du patrimoine vivant	6
bien évidemment bien évidemment	bien évidemment bien évidemment euh	8	bien évidemment bien évidemment eun	0
deux styles deux ambiances mais une même idée réussir une démonstration de force jean baptiste daoulas	de style deux ambiances mais une même idée réussir une démonstration de force jean-baptiste daoulas	4	deux styles deux ambiances mais une même idée réussir une démonstration de force jean-baptiste nagoulaz	4
qui existe beaucoup moins aujourd'hui en tout cas qui n' est plus en première ligne	qui existe beaucoup moins aujourd' hui en tout cas qu'il n' est plus en première ligne	7	qui existe beaucoup moins aujourd' hui en tout cas qu' il n' est plus en première ligne	1
florence alors à la une des hebdos anne lauvergeon sans état d' âme	bougies alors à la une des hebdos anne lauvergeon sans états d' âme	1	florence no rog alors à la une des hebdos anne lauvergon sans états d' âme	7
de la majorité précédente et qui mettent plus de justice et plus d' équilibre	majorité précédente et qui mettent plus de justice et plus d' équilibre	2	la majorité précédente et qui mettent plus de justice et plus d' équilibre	6
effectivement à côté du jeu politique et donc il est et c' est de la situation idéale	effectivement à côté du jeu politique et donc euh il est et c' est de la protitu idéale	0	effectivement à côté du jeu politique et donc euh il est c' est de la pro situation idéale	8
le président de la république est nouvellement élu il dit je vais réduire la dépense de dix milliards rappelez vous	président la république et nouvellement élue je vais réduire la dépense dix milliards rappelez vous	5	président de la république est nouvellement élu il dit je vais réduire la dépense dix milles rappelez-vous	3
nicolas hulot le perdant de la primaire europe écologie les verts refuse	nicolas hulot le perdant de la primaire europe ecologie les verts refuse	8	nicolas hulot le perdont de la primaire europe écologie les verts refuse	0
et manifestement en l' état nous ne sommes pas audible	et manifestement en l' état nous ne sommes pas au dit	2	et manifestement en l' état nous ne sommes pas au dibe)	6
une réunion d' enfants de la chiraquie avec pour ambition la présidentielle de deux mille dix sept	une réunion d' enfants de la chiraquie avaient pour ambition la présidentielle de deux mille dix sept	0	une réunion d' enfants de la chiraquie avec pour ambition la présidentielle de deux milles dix-sept	8
est ce vrai que la la sécurité fait exploser tous les budgets également	euh c' est vrai que la la sécurité fait exploser tous les budgets également	0	est-ce vrai que la la sécurité fait exposer tous les budgets également	8
par l' armée	l' armée	1	par euh l' armée	7
du dernier adieu à whitney houston	dernier adieu à whitney houston	8	l du dernier adio à witry juston	0
tout l' olympia pour lui il était à son apogée réservoir prod était vraiment la boîte de tous les succès	tout l' olympia pour lui il était à son apoggé réservoir pro d' était vraiment la boîite de tous les succès	8	tout l' olympia pour lui il était à son appogé réservoir pr odetté vraimont la boîte de tous les succès	0
enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qu' ils payent là	enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qu' il payent là euh	7	enfin que les citoyens allemands que les décideurs allemands n' aient pas le sentiment qui payent là euh	1
la mort de jean jé colonna qui était le parrain de la corse du sud il y a	euh la mort de janger colonna qui était le parrain de la corse du sud y a	3	la mort de jean-jicques colonna qui était le parrain de la corse du sud il y a	4
ce soir sur lcp avec le meeting de philippe poutou à la halle carpentier à paris	euh ce soir sur euh lcp avec le meeting de philippe poutou à la al carpentier à paris	5	euh ce soir sur euh lcp avec le meeting de philippe poutou a la ale carpentier à paris	2
et pourtant dans une autre vie stefano sollima était journaliste désormais le voilà réalisateur et un grand	pourtant dans une autre vie stefano folli m' a été journaliste désormais le voilà réalisateur est un grand	1	et pourtant dans une autre vise stéphano-soline a été journaliste désormais le voilà réalisateur et un grand	6
il fait comme ns ns	domenech	0	il fait comme une s n	7
vient du ministre des affaires européennes lui même	()) du ministre des affaires européennes lui-même	5	(béin du ministre des affaires européen lue	2
bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	bonsoir à tous bienvenue ces bfm story en direct jusqu' à dix-neuf heures à la	3	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix-neuf heures à	4
